ICDO;SEXO;a;k
14;M;0,001614725;3,339290229
15;M;0,001495059;3,692789789
16;M;0,002864457;4,717352155
18;M;0,004555407;5,316761752
19;M;0,0026523;4,002627491
22;M;0,0020186;3,731381399
23;M;0,003013015;5,572777957
25;M;0,002982218;4,722805522
32;M;0,001372516;3,348190552
34;M;0,004639428;5,0984471
43;M;0,000324475;2,14843141
61;M;0,005695625;5,647181749
62;M;1,00E-06;0,975997968
64;M;0,001337761;3,090473641
67;M;0,004017611;4,80697142
71;M;0,000946778;3,067255724
73;M;2,37E-05;1,406861421
81;M;1,00E-06;1,019062327
82;M;0,001034301;2,868415169
90;M;0,002078067;4,448777327
91;M;0,002421624;4,517237847
99;M;0,002899003;4,219467803
14;F;0,000784958;2,950056035
15;F;0,001448923;4,389831185
16;F;0,001575318;3,807119695
18;F;0,002674629;4,09407509
19;F;0,001305521;3,155375317
22;F;0,002597919;5,155999609
23;F;0,003131621;5,945663621
25;F;0,003036177;5,007734561
32;F;0,000240457;2,451987187
34;F;0,001769765;3,297942414
43;F;1,36E-05;1,18190662
50;F;0,000438532;1,684358722
53;F;1,88E-06;0,970505785
54;F;0,001330935;3,021100985
56;F;0,000313815;2,115809977
64;F;0,000919163;3,029589923
67;F;0,001580733;3,50432524
71;F;0,000656029;2,797898349
73;F;1,11E-06;0,847852447
81;F;1,00E-06;1,058276844
82;F;0,000765526;2,697143245
90;F;0,002607175;5,236617275
91;F;0,00083083;2,999461498
99;F;0,001446062;3,264579556
