ICDO;SEXO;M01;M02;M03;M04;M05;M06;M07;M08;M09;M10;M11;M12;M13;M14;M15;M16;M17;M18
14;M;0,00785;0;0,04616;0,05093;0,12424;0,11955;0,18844;0,64659;2,40696;7,32142;14,14371;17,68793;19,23755;22,62219;22,33799;24,87819;26,03396;30,83739
15;M;0;0;0;0;0,02071;0,0876;0,12836;0,34753;1,48645;4,25685;9,51222;12,72129;16,57247;19,31859;23,22241;26,72283;31,86446;33,80027
16;M;0;0;0;0,03365;0,04802;0,28269;0,52126;1,34354;2,72635;5,80476;11,58902;14,5293;24,69037;36,4707;51,91858;73,00242;105,66977;133,76211
18;M;0;0;0;0,02561;0,12599;0,24695;0,46218;0,99173;2,48888;6,33088;13,49652;27,21611;44,79379;71,87133;109,85668;169,45856;257,85726;359,36971
19;M;0;0;0;0;0,03393;0,0876;0,14822;0,46569;1,01026;2,86305;5,67439;10,39035;17,59767;28,69173;39,2293;58,08589;77,42909;102,91703
22;M;0,10771;0,05398;0,03663;0,12717;0,12026;0,29167;0,36137;0,69362;2,12335;6,38144;11,65515;17,84427;28,72734;40,10165;53,60101;70,5021;86,39603;90,92958
23;M;0;0;0;0;0,01497;0;0,02904;0,06558;0,12356;0,46122;0,98109;1,51335;2,84625;5,36884;7,19088;11,28473;16,76287;24,66165
25;M;0;0;0;0,03395;0,02246;0,0928;0,24419;0,76475;2,32322;5,592;11,24005;20,00505;29,24233;43,19735;57,71073;73,51202;81,51522;89,2784
32;M;0;0,00963;0;0;0,02071;0;0,01961;0,18667;0,92112;3,7365;8,3295;10,67033;13,68918;18,15645;20,10767;25,7478;31,30807;34,4126
34;M;0,03328;0,01799;0,0735;0,10215;0,12775;0,25879;0,90748;3,0849;11,13854;32,88915;72,66336;116,6828;175,49954;253,80537;308,53825;378,63752;426,23218;403,4275
43;M;0,00785;0;0,01831;0,02531;0,07709;0,21521;0,48279;0,7356;1,10279;1,57828;2,18227;3,80636;4,41976;5,89235;8,7804;10,92901;14,59594;21,94534
61;M;0;0,00837;0;0,03454;0,00661;0,01184;0,01477;0,03009;0,10478;0,52451;2,22844;5,69896;16,28516;34,63353;65,31512;133,81312;246,40415;511,95147
62;M;0;0;0,00903;0,08458;0,23216;0,35559;0,27782;0,30744;0,16814;0,16614;0,16153;0,13261;0,08437;0,17981;0,26566;0,29787;0,6083;1,23466
64;M;0,10265;0,0385;0,04566;0,03425;0,09868;0,06156;0,19428;0,42577;1,18688;2,49149;4,73128;7,76245;10,75412;14,15178;19,56315;27,97204;38,73531;52,03878
67;M;0;0,00963;0,00928;0,02531;0,00661;0,04522;0,06393;0,25169;0,69666;2,14272;6,23744;11,88499;22,80266;39,79971;61,58253;99,8114;152,65411;258,32951
71;M;0;0;0;0;0,01497;0,03338;0,03004;0,04514;0,15845;0,21413;0,31418;0,68537;0,98147;1,66316;1,94041;2,88756;3,67631;3,50828
73;M;0,71601;0,86668;0,66005;0,63583;0,63658;0,95506;1,35549;2,19641;3,31283;5,18537;7,93674;12,88352;15,75446;18,44306;23,63202;25,00027;27,29838;24,86841
81;M;0,00879;0,00963;0,06422;0,16946;0,34142;0,37313;0,28626;0,33065;0,36415;0,49538;0,58814;0,6836;1,02228;1,17983;1,45376;2,61486;3,27787;3,28054
82;M;0,11743;0,26155;0,33992;0,43958;0,45858;0,58713;0,72064;1,05564;2,14612;2,92607;4,52438;6,47966;8,93077;13,22204;20,3919;31,60779;44,38178;53,22769
90;M;0;0;0;0;0;0,02818;0,03438;0,12038;0,27619;0,76026;1,56041;2,72312;5,06463;8,28625;14,27199;22,62777;31,60228;39,53051
91;M;0,92053;1,18808;1,34868;1,431;1,05597;1,01755;1,0043;1,3482;1,57558;2,13152;3,42906;5,44972;9,09271;15,38819;26,0454;42,28055;65,32778;91,79049
99;M;0,822;1,00729;0,88836;1,78238;1,82556;1,49132;1,75598;2,76309;4,9656;10,31078;18,90076;20,83799;31,86998;45,73598;67,18029;97,99508;143,76734;230,14501
14;F;0,0093;0,01901;0;0,03634;0,06578;0,10286;0,12622;0,21709;0,70972;1,2529;2,10836;3,04893;3,68009;4,22807;5,58259;6,80343;10,99426;17,1089
15;F;0;0;0;0,00882;0;0,01848;0,0209;0,05535;0,21734;0,56859;1,02844;1,37997;1,71601;2,55711;2,9621;4,02112;5,57911;6,98787
16;F;0;0;0;0,00882;0,0952;0,27348;0,56372;1,21662;2,15901;3,60739;5,12258;6,16239;10,11294;14,01622;20,14671;31,16403;50,20812;73,82209
18;F;0;0;0;0;0,0952;0,20511;0,42298;1,11395;2,22874;5,07782;10,10285;15,53595;23,13603;31,54535;46,04157;71,63649;118,41897;193,76011
19;F;0;0;0;0,00882;0,02249;0,05297;0,1697;0,36097;1,03585;1,80218;3,07505;4,75915;7,29249;9,7803;14,1742;20,92951;30,79529;47,15874
22;F;0,01767;0,04949;0,00981;0,02716;0,0641;0,10964;0,18544;0,25136;0,54081;1,21143;2,19488;3,92499;6,91497;10,72316;17,40991;29,73511;42,6425;52,54236
23;F;0;0;0;0,00917;0;0,01786;0,04723;0,06421;0,179;0,43189;1,05187;1,10426;2,40395;3,65485;5,9375;10,23213;15,46798;21,95847
25;F;0;0;0;0,00917;0,03552;0,06529;0,17485;0,54379;1,39063;2,96114;5,3051;10,89126;17,39082;25,86429;38,96073;53,76961;70,55545;87,5725
32;F;0;0;0;0;0;0,00554;0,00543;0,02768;0,13213;0,31185;0,61257;0,64869;0,94061;0,66166;0,78332;0,79544;0,972;1,41228
34;F;0,00837;0;0;0,02752;0,09856;0,12134;0,48164;1,73431;5,64421;12,75765;19,86015;34,04429;44,57298;43,887;47,29112;52,19006;58,91174;67,39215
43;F;0,00837;0;0,01912;0,01763;0,11517;0,17123;0,37632;0,65305;0,92589;1,30142;1,61286;2,01224;2,30379;3,05575;3,59213;4,8304;6,53968;11,40302
50;F;0;0;0;0,01835;0,12379;0,51123;2,4633;7,06018;13,90908;22,6935;31,05518;35,22049;38,21299;42,60298;51,91896;72,55547;102,18709;169,55328
53;F;0;0;0;0,00294;0,0433;0,17822;0,6196;1,66172;3,00521;4,08781;4,81425;5,60829;5,9959;6,35382;7,33295;8,88315;11,6443;14,09263
54;F;0;0;0;0,00294;0,03026;0,0156;0,06066;0,16908;0,49713;1,02458;2,14863;4,91878;7,85576;12,90433;17,59558;21,9321;28,14187;33,31861
56;F;0,00837;0,01016;0,02918;0,08042;0,16099;0,25007;0,53946;1,12425;2,60009;5,35601;8,59677;11,65433;15,10954;18,33897;22,6427;27,63988;32,15633;33,03497
64;F;0,15712;0,06459;0,01937;0,04551;0,05801;0,06467;0,15855;0,24944;0,44436;0,90513;1,51061;2,9346;4,42344;5,43638;7,24196;11,04338;15,67736;22,4375
67;F;0,0093;0;0;0,01799;0;0,0117;0,05238;0,11813;0,20547;0,56427;1,06147;1,75265;2,92562;4,20327;7,8324;15,41464;25,40655;47,10173
71;F;0;0;0;0;0,01471;0,01109;0,04235;0,03235;0,09973;0,19492;0,3461;0,60796;0,96902;1,68003;2,45925;3,27143;4,66079;5,92751
73;F;0,47603;0,80743;0,39649;0,65716;0,52793;0,64612;0,91774;1,46317;1,97135;3,04312;4,78893;7,45382;9,80023;13,5784;16,57681;18,67377;19,93682;17,34335
81;F;0;0,00885;0,01937;0,11676;0,25787;0,23221;0,23295;0,23577;0,21085;0,17024;0,21795;0,33064;0,4528;0,86155;1,19858;1,4492;2,60548;2,59877
82;F;0,08182;0,0659;0,14516;0,18872;0,32975;0,32275;0,44041;0,67043;0,94526;1,37248;2,16707;3,13345;4,44048;8,38413;12,90602;20,69211;31,33638;36,70224
90;F;0;0;0;0;0,03804;0,01232;0,01031;0,07692;0,24748;0,5027;1,22356;2,1572;3,71512;6,38569;9,70648;17,10589;22,87425;26,86126
91;F;0,96509;0,69987;0,90346;0,84552;0,67779;0,72312;0,83219;1,0108;1,08067;1,81129;2,49269;3,51525;5,3757;8,15772;13,16601;22,59078;35,10102;51,90569
99;F;0,66291;0,75924;0,87978;1,05623;0,94572;1,01097;1,49218;2,46326;3,92086;7,13228;10,90275;12,15604;18,13884;25,14163;38,39583;59,22836;94,11513;162,13056
