ICDO;SEXO;a;k
14;M;0,000735365;2,812988262
15;M;0,001324167;3,542888203
16;M;0,003157298;5,126837546
18;M;0,004617707;6,220121852
19;M;0,003520851;5,723893744
22;M;0,002905227;4,819086636
23;M;0,002981395;6,20526173
25;M;0,003096598;4,974731866
32;M;0,001359825;3,637288081
34;M;0,003978865;4,607111265
43;M;0,001309938;3,98376962
61;M;0,006391886;9,524863114
62;M;1,00E-06;1,337467769
64;M;0,002041027;4,463416231
67;M;0,004737008;6,90382928
71;M;0,001436189;4,772726377
73;M;0,001108837;3,305183171
81;M;6,39E-05;2,086038269
82;M;0,002346879;4,817189086
90;M;0,003958664;7,098940265
91;M;0,003951271;6,615281718
99;M;0,002802573;4,597982942
14;F;0,000761411;3,374626438
15;F;0,000895846;3,79661361
16;F;0,002041155;4,46366609
18;F;0,002863513;4,888063583
19;F;0,002144969;4,763028486
22;F;0,003553313;6,385682587
23;F;0,002947287;6,310902093
25;F;0,003526762;5,752616073
32;F;5,96E-05;2,132361759
34;F;0,001180347;3,057674445
43;F;0,00026965;2,599937543
50;F;0,000627944;2,43466116
53;F;0,000135516;2,044070458
54;F;0,00311336;5,787556553
56;F;0,001205507;3,428526186
64;F;0,001581667;4,388602997
67;F;0,00334168;6,689344721
71;F;0,002338784;5,976733464
73;F;0,001363904;3,751345077
81;F;0,001003581;4,345976366
82;F;0,003096227;6,002915688
90;F;0,003299608;6,453293223
91;F;0,002529102;5,289341506
99;F;0,002238231;4,348943363
