ZONA;AÑO;SEXO;ICDO;M01;M02;M03;M04;M05;M06;M07;M08;M09;M10;M11;M12;M13;M14;M15;M16;M17;M18
1;2000;M;14;0;0;0;0;0;3;2;5;10;10;12;9;13;14;18;22;12;9
1;2000;M;15;0;0;0;0;0;0;1;2;0;2;5;4;6;5;2;5;6;3
1;2000;M;16;0;0;0;0;0;0;0;0;4;4;4;6;9;17;20;19;20;20
1;2000;M;18;0;0;0;0;0;0;0;0;0;0;3;2;6;4;6;9;10;5
1;2000;M;19;0;0;0;0;0;0;0;0;0;0;0;1;2;10;6;5;5;5
1;2000;M;22;0;0;0;0;0;0;0;1;0;4;2;3;3;12;11;8;5;12
1;2000;M;23;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;3;1
1;2000;M;25;0;0;0;0;0;0;0;1;1;2;0;2;3;7;6;5;3;8
1;2000;M;32;0;0;0;0;0;2;1;3;1;7;9;10;6;12;5;13;6;12
1;2000;M;34;0;0;0;0;0;0;5;7;12;25;25;43;58;67;80;73;62;72
1;2000;M;43;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1
1;2000;M;61;0;0;0;0;0;0;0;0;0;0;1;3;4;4;15;14;15;15
1;2000;M;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2000;M;64;0;0;0;0;0;0;0;0;0;2;0;1;0;1;2;1;0;2
1;2000;M;67;0;0;0;0;0;0;0;0;0;4;0;0;1;5;9;4;4;14
1;2000;M;71;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
1;2000;M;73;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;0;2
1;2000;M;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2000;M;82;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1
1;2000;M;90;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;1;8
1;2000;M;91;0;0;0;0;0;0;0;0;1;0;1;1;4;2;8;7;8;6
1;2000;M;99;0;0;0;0;0;0;1;3;1;10;8;10;17;19;9;25;9;19
1;2000;F;14;0;0;0;0;0;1;0;1;1;0;0;1;0;2;1;1;1;2
1;2000;F;15;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
1;2000;F;16;0;0;0;0;0;0;0;0;0;0;3;2;5;3;7;1;7;12
1;2000;F;18;0;0;0;0;0;0;0;0;1;2;3;2;4;4;12;9;8;14
1;2000;F;19;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;2;5
1;2000;F;22;0;0;0;0;0;0;0;0;0;0;2;1;1;3;2;3;3;11
1;2000;F;23;0;0;0;0;0;0;0;0;0;0;2;3;1;0;5;6;4;11
1;2000;F;25;0;0;0;0;0;0;0;0;0;1;3;1;2;3;5;2;10;10
1;2000;F;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
