ZONA;AÑO;SEXO;ICDO;I01;I02;I03;I04;I05;I06;I07;I08;I09;I10;I11;I12;I13;I14;I15;I16;I17;I18;SE
1;2000;M;14;0;0;0;1;0;1;2;6;4;6;10;14;18;16;14;15;22;14;0
1;2000;M;15;0;0;0;0;0;1;0;1;1;1;3;3;3;7;4;5;4;10;0
1;2000;M;16;0;0;0;0;0;0;3;2;2;2;10;9;10;16;18;21;25;18;0
1;2000;M;18;0;0;0;0;0;1;1;4;4;1;5;11;11;13;16;18;18;19;0
1;2000;M;19;0;0;0;0;0;0;0;4;5;4;5;10;13;13;14;9;9;5;0
1;2000;M;22;0;0;0;0;0;1;1;0;0;3;2;10;6;12;7;4;8;7;0
1;2000;M;23;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0
1;2000;M;25;0;0;0;0;0;0;1;0;1;0;0;2;1;2;4;3;4;2;0
1;2000;M;32;0;0;0;0;0;4;2;6;13;7;13;25;21;37;36;31;30;18;0
1;2000;M;34;0;0;0;0;0;0;1;6;13;19;16;17;37;45;55;57;46;73;0
1;2000;M;43;0;0;0;0;0;0;0;0;1;1;4;1;3;0;2;3;0;0;0
1;2000;M;61;0;0;0;0;0;0;2;5;8;7;16;25;40;54;50;65;69;61;0
1;2000;M;62;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
1;2000;M;64;0;0;0;0;0;1;1;0;3;0;2;3;4;3;3;0;1;4;0
1;2000;M;67;0;0;0;0;0;1;3;3;4;12;15;23;18;25;36;45;33;41;0
1;2000;M;71;0;0;0;0;0;0;1;2;0;1;1;1;3;2;3;5;1;2;0
1;2000;M;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2000;M;81;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
1;2000;M;82;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;1;0;6;0
1;2000;M;90;0;0;0;0;0;0;0;1;0;0;1;1;2;2;1;2;1;0;0
1;2000;M;91;0;0;0;0;0;0;1;1;1;2;1;7;4;7;10;7;6;8;0
1;2000;M;99;0;0;0;0;1;2;0;1;1;4;7;5;4;7;15;9;9;4;0
1;2000;F;14;0;0;0;0;0;0;0;1;2;1;0;0;0;4;3;4;0;3;0
1;2000;F;15;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1;2000;F;16;0;0;0;0;0;0;0;4;0;1;1;5;8;11;9;7;7;13;0
1;2000;F;18;0;0;0;0;0;0;2;2;1;0;4;6;12;12;16;16;13;26;0
1;2000;F;19;0;0;0;0;0;1;1;1;1;3;1;5;2;7;4;6;10;4;0
1;2000;F;22;0;0;0;0;0;0;0;0;1;0;0;0;1;2;3;5;7;3;0
1;2000;F;23;0;0;0;0;0;0;0;0;0;0;0;0;4;3;5;9;7;9;0
1;2000;F;25;0;0;0;0;0;0;0;0;0;0;4;2;0;0;3;3;7;8;0
1;2000;F;32;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;2000;F;34;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;4;0;2;0
1;2000;F;43;0;0;1;0;1;2;0;2;3;5;2;0;3;0;4;0;2;3;0
