ZONA;AÑO;SEXO;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18
1;2000;M;17911;17986;17314;15453;14889;13392;12788;14717;14540;13581;10769;10156;9329;8445;6776;5061;3246;2808
1;2000;F;14665;14849;14433;13280;12894;11955;12067;13959;13821;13186;11659;11203;10601;10404;9518;7654;5671;6491
1;2001;M;17716;18156;17366;15663;14999;13555;13215;15195;14880;13717;11124;10359;9551;8694;7177;5279;3486;3045
1;2001;F;14668;15267;14573;13350;13218;12193;12487;14117;14406;13636;11813;11444;10994;10755;9795;7911;6140;7038
1;2002;M;18011;18199;17470;15744;15039;13838;13407;15481;15258;13858;11615;10825;9984;8907;7699;5657;3904;3422
1;2002;F;14810;14972;14519;13655;13032;12571;12567;14716;14861;13714;12254;11974;11406;11011;10315;8345;6343;7661
1;2003;M;18104;18346;17416;15837;15298;14076;13800;15667;15605;14408;11654;11062;10412;9455;8043;5985;4013;3621
1;2003;F;14865;15319;14522;13525;13186;12682;12824;14494;15034;14317;12585;12227;11619;11336;10804;8679;6664;8033
1;2004;M;18045;18324;17461;15827;15269;14046;13629;15638;15879;14551;12015;11070;10604;9688;8273;6236;4502;3837
1;2004;F;14548;14954;14556;13277;13198;12806;13046;14769;15370;14304;12577;12338;11924;11580;11064;9068;7141;8517
1;2005;M;18119;18528;17634;16209;15801;14309;13810;16139;15961;14770;12133;11411;11018;9904;8592;6667;4665;4257
1;2005;F;14741;15171;14594;13445;13343;12803;13540;15159;15548;14658;13062;12948;12438;12108;11541;9624;7394;9057
1;2006;M;18438;18832;17725;16444;15733;14655;14484;16685;16551;15216;12485;11813;11254;10374;9333;7003;4824;4506
1;2006;F;14897;15369;14832;13817;13562;13217;13603;15511;16173;15099;13415;13079;12857;12730;12257;9883;7895;9798
1;2007;M;18476;18584;18002;16443;15862;14934;14659;16860;17024;15745;13110;12112;11688;10704;9568;7529;5314;5089
1;2007;F;14746;14842;14871;13910;13766;13465;13771;16065;16336;15664;14234;13545;13323;13161;12758;10814;8372;10570
1;2008;M;18667;19155;18132;16326;15964;14991;14888;17114;17188;15760;13002;12504;11764;11175;10019;7914;5427;5158
1;2008;F;14684;14996;14692;13793;13578;13298;14021;15830;16788;16010;14155;13884;13612;13592;13275;11125;8513;11118
1;2009;M;18379;18924;18231;16660;16217;15338;15337;17401;17889;16140;13584;13011;12224;11648;10413;8174;5790;5705
1;2009;F;14346;14903;14485;13878;13716;13382;14212;16188;16851;15878;14332;14098;13690;13901;13466;11381;8961;11766
1;2010;M;18335;18673;18244;16699;16297;15157;15436;17583;17877;16215;13682;13144;12639;11862;10849;8658;6096;5982
1;2010;F;14330;14879;14448;13730;13800;13578;14285;16394;17058;16069;14533;14310;14040;14167;13963;12017;9468;12174
1;2011;M;18354;18921;18218;16449;16208;15477;15941;17974;18307;16760;14014;13378;12905;12218;11301;9118;6513;6389
1;2011;F;14298;14649;14212;13633;13378;13436;14536;16419;17155;16170;14837;14433;14096;14174;14285;12238;9736;12783
1;2012;M;18400;18743;17892;16690;16364;15517;15941;18263;18227;17356;14354;13634;12820;12626;11819;9506;6818;6862
1;2012;F;13798;14383;13926;13125;13331;13295;14229;16278;17202;16156;14601;14467;14133;14493;14476;12282;10296;12991
1;2013;M;18246;18579;18091;16789;16220;15596;16029;18398;18548;17404;14687;13871;13269;13068;12137;9865;7101;7116
1;2013;F;13439;14003;13848;13264;13342;13274;14465;16375;17557;16571;15086;14588;14510;14821;15143;12763;10428;13411
1;2014;M;18208;18693;18406;16947;16809;15913;16509;19083;19115;17837;15010;14544;13582;13333;12801;10449;7321;7386
1;2014;F;13176;13591;13411;12747;12966;13134;14302;16245;17142;16331;14778;14432;14434;14813;14906;12927;10700;13711
1;2015;M;18234;18642;18230;16700;16831;16189;16746;19457;19741;18243;15461;14769;14339;13855;13361;10789;8193;7788
1;2015;F;12522;13400;13228;12637;12900;12999;14428;16296;17190;16276;14988;14633;14787;15265;15320;13341;10906;14756
1;2016;M;17972;19084;18603;17195;17189;16161;17192;19566;20267;19172;16121;15161;14521;14232;13754;11360;8230;8454
1;2016;F;12433;12946;13082;12526;12870;12939;14659;16422;17528;16647;15217;14898;14679;15374;15749;13606;11255;15219
1;2017;M;17925;18502;18136;17056;16933;16328;17074;19541;20062;18611;16048;15344;14598;14662;14288;11676;8529;8672
1;2017;F;12130;13086;12625;12306;12493;13117;14358;16241;17329;16616;15498;14948;14880;15446;15895;14061;11525;15557
1;2018;M;17331;18100;17539;16598;16562;16276;17235;19481;20006;18512;15851;15183;14627;14650;14492;11787;8661;8850
1;2018;F;11925;12524;12763;12031;12488;12776;14358;16590;17236;16652;15632;15235;14960;15846;16259;14261;12064;15922
1;2019;M;17097;17904;17401;16249;16304;16037;17169;19516;20259;18781;15797;15465;14786;14971;14404;12054;8900;9150
1;2019;F;11492;12172;12146;11627;12175;12776;14284;16379;17207;16643;15186;15199;15001;16110;16801;14598;11918;16282
1;2020;M;16840;17535;17322;16195;16364;16041;17321;19709;20169;18456;16519;15743;15192;15086;15111;12333;9465;9510
1;2020;F;11054;11703;11908;11515;12006;12529;14298;16348;17368;16771;15318;15242;15135;16015;17126;14973;12345;16803
1;2021;M;16546;17214;16870;16127;16130;16142;17228;19726;20279;18689;16286;15580;15040;15192;15460;12893;9501;9829
1;2021;F;10992;11628;11638;11525;11954;12629;14361;16606;17617;16764;15679;15223;15210;16146;17231;15549;12684;17205
1;2022;M;16192;16649;16485;15885;15793;16327;17021;19438;20398;18700;16297;15678;15056;15366;15441;12956;9742;10089
1;2022;F;10280;11277;11254;11151;11586;12309;14138;15923;17194;16515;15660;15268;15251;16356;17445;15460;12913;17596
1;2023;M;15730;16474;16254;15603;15707;15838;17557;19494;20316;19074;16637;15808;15448;15797;15931;13783;9935;10594
1;2023;F;10151;10659;10953;10919;11365;12204;14256;15907;17360;16655;15765;15411;15583;16757;17463;16145;13184;18361
1;2024;M;15587;16079;16092;15360;15880;16207;17366;19539;20381;19239;16841;16060;15757;15989;16206;13992;10169;10706
1;2024;F;9805;10514;10853;10734;11389;12109;14257;16049;17363;16934;15509;15620;15500;16875;18267;16375;13382;18249
1;2025;M;15324;15681;16147;15332;15540;15760;17361;19504;20447;19299;16674;15974;15685;16095;16644;14240;10631;10989
