"sex";"edadgr";"tumor";"casos";"pob";"ano";"numtum";"planlb"
1;1;140;0;1686598;75;1;"C.BUCAL Y FARINGE"
1;2;140;2;1670989;75;1;"C.BUCAL Y FARINGE"
1;3;140;0;1630862;75;1;"C.BUCAL Y FARINGE"
1;4;140;2;1489224;75;1;"C.BUCAL Y FARINGE"
1;5;140;4;1295194;75;1;"C.BUCAL Y FARINGE"
1;6;140;3;1234508;75;1;"C.BUCAL Y FARINGE"
1;7;140;5;1108519;75;1;"C.BUCAL Y FARINGE"
1;8;140;9;1028760;75;1;"C.BUCAL Y FARINGE"
1;9;140;25;1173770;75;1;"C.BUCAL Y FARINGE"
1;10;140;56;1114435;75;1;"C.BUCAL Y FARINGE"
1;11;140;90;998314;75;1;"C.BUCAL Y FARINGE"
1;12;140;93;771518;75;1;"C.BUCAL Y FARINGE"
1;13;140;98;699089;75;1;"C.BUCAL Y FARINGE"
1;14;140;112;606279;75;1;"C.BUCAL Y FARINGE"
1;15;140;108;451945;75;1;"C.BUCAL Y FARINGE"
1;16;140;87;263851;75;1;"C.BUCAL Y FARINGE"
1;17;140;44;154359;75;1;"C.BUCAL Y FARINGE"
1;18;140;31;71061;75;1;"C.BUCAL Y FARINGE"
1;1;140;1;1695131;76;1;"C.BUCAL Y FARINGE"
1;2;140;0;1674208;76;1;"C.BUCAL Y FARINGE"
1;3;140;2;1652897;76;1;"C.BUCAL Y FARINGE"
1;4;140;3;1519924;76;1;"C.BUCAL Y FARINGE"
1;5;140;2;1318178;76;1;"C.BUCAL Y FARINGE"
1;6;140;3;1237467;76;1;"C.BUCAL Y FARINGE"
1;7;140;5;1135741;76;1;"C.BUCAL Y FARINGE"
1;8;140;10;1016472;76;1;"C.BUCAL Y FARINGE"
1;9;140;30;1165099;76;1;"C.BUCAL Y FARINGE"
1;10;140;58;1132491;76;1;"C.BUCAL Y FARINGE"
1;11;140;86;1024887;76;1;"C.BUCAL Y FARINGE"
1;12;140;106;802009;76;1;"C.BUCAL Y FARINGE"
1;13;140;122;699315;76;1;"C.BUCAL Y FARINGE"
1;14;140;140;615199;76;1;"C.BUCAL Y FARINGE"
1;15;140;91;466468;76;1;"C.BUCAL Y FARINGE"
1;16;140;65;276716;76;1;"C.BUCAL Y FARINGE"
1;17;140;42;160356;76;1;"C.BUCAL Y FARINGE"
1;18;140;25;73695;76;1;"C.BUCAL Y FARINGE"
1;1;140;2;1706106;77;1;"C.BUCAL Y FARINGE"
1;2;140;0;1678997;77;1;"C.BUCAL Y FARINGE"
1;3;140;0;1675605;77;1;"C.BUCAL Y FARINGE"
1;4;140;3;1548454;77;1;"C.BUCAL Y FARINGE"
1;5;140;3;1349941;77;1;"C.BUCAL Y FARINGE"
1;6;140;1;1248253;77;1;"C.BUCAL Y FARINGE"
1;7;140;4;1171405;77;1;"C.BUCAL Y FARINGE"
1;8;140;13;1014989;77;1;"C.BUCAL Y FARINGE"
1;9;140;38;1143287;77;1;"C.BUCAL Y FARINGE"
1;10;140;53;1150369;77;1;"C.BUCAL Y FARINGE"
1;11;140;107;1045201;77;1;"C.BUCAL Y FARINGE"
1;12;140;108;842234;77;1;"C.BUCAL Y FARINGE"
1;13;140;111;697963;77;1;"C.BUCAL Y FARINGE"
1;14;140;126;622732;77;1;"C.BUCAL Y FARINGE"
1;15;140;114;476543;77;1;"C.BUCAL Y FARINGE"
1;16;140;94;292124;77;1;"C.BUCAL Y FARINGE"
1;17;140;48;161897;77;1;"C.BUCAL Y FARINGE"
1;18;140;28;76330;77;1;"C.BUCAL Y FARINGE"
1;1;140;0;1693050;78;1;"C.BUCAL Y FARINGE"
1;2;140;0;1685134;78;1;"C.BUCAL Y FARINGE"
1;3;140;1;1692019;78;1;"C.BUCAL Y FARINGE"
1;4;140;0;1577737;78;1;"C.BUCAL Y FARINGE"
1;5;140;1;1385507;78;1;"C.BUCAL Y FARINGE"
1;6;140;1;1257193;78;1;"C.BUCAL Y FARINGE"
1;7;140;4;1200410;78;1;"C.BUCAL Y FARINGE"
1;8;140;12;1036157;78;1;"C.BUCAL Y FARINGE"
1;9;140;33;1110733;78;1;"C.BUCAL Y FARINGE"
1;10;140;65;1165666;78;1;"C.BUCAL Y FARINGE"
1;11;140;89;1062439;78;1;"C.BUCAL Y FARINGE"
1;12;140;100;886029;78;1;"C.BUCAL Y FARINGE"
1;13;140;121;698968;78;1;"C.BUCAL Y FARINGE"
1;14;140;115;628371;78;1;"C.BUCAL Y FARINGE"
1;15;140;102;485958;78;1;"C.BUCAL Y FARINGE"
1;16;140;81;307588;78;1;"C.BUCAL Y FARINGE"
1;17;140;36;162748;78;1;"C.BUCAL Y FARINGE"
1;18;140;29;78965;78;1;"C.BUCAL Y FARINGE"
1;1;140;2;1652303;79;1;"C.BUCAL Y FARINGE"
1;2;140;1;1692428;79;1;"C.BUCAL Y FARINGE"
1;3;140;1;1698412;79;1;"C.BUCAL Y FARINGE"
1;4;140;0;1609700;79;1;"C.BUCAL Y FARINGE"
