fecha,temperatura
1880,15.16
1881,16.27
1882,15.17
1883,14.83
1884,15.26
1885,14.89
1886,15.26
1887,15.68
1888,14.99
1889,14.7
1890,14.99
1891,15.02
1892,15.74
1893,16.28
1894,15.2
1895,16.11
1896,15.75
1897,16.31
1898,16.04
1899,16.88
1900,15.85
1901,15.36
1902,15.18
1903,15.75
1904,15.68
1905,15.49
1906,15.82
1907,15.44
1908,15.92
1909,15.67
1910,15.64
1911,15.43
1912,15.61
1913,15.57
1914,15.54
1915,15.77
1916,15.81
1917,15.55
1918,15.64
1919,16.28
1920,16.03
1921,16.11
1922,15.91
1923,15.87
1924,15.55
1925,15.55
1926,17.01
1927,15.9
1928,15.74
1929,15.93
1930,15.9
1931,15.66
1932,15.02
1933,15.63
1934,14.53
1935,15.05
1936,15.25
1937,15.62
1938,15.8
1939,15.46
1940,16.02
1941,15.68
1942,15.58
1943,16.45
1944,16.1
1945,16.44
1946,15.82
1947,16.3
1948,16.68
1949,17
1950,16.11
1951,16.02
1952,16.41
1953,16.79
1954,16.25
1955,17.17
1956,15.78
1957,16.18
1958,16.31
1959,16.53
1960,16.78
1961,
1962,16.13
1963,15.64
1964,16.4
1965,15.73
1966,16.44
1967,15.76
1968,
1969,
1970,16.33
1971,15.53
1972,15.32
1973,16.24
1974,15.98
1975,16.12
1976,15.95
1977,16.13
1978,16.41
1979,16.22
1980,16.65
1981,16.7
1982,16.74
1983,16.48
1984,16.12
1985,16.62
1986,16.38
1987,16.98
1988,16.7
1989,17.06
1990,17.3
1991,16.56
1992,16.39
1993,15.9
1994,16.62
1995,17.7
1996,16.61
1997,17.62
1998,17.12
1999,16.5
2000,16.77
2001,16.99
2002,16.6
2003,17.36
2004,17
2005,16.86
2006,17.48
2007,16.8
2008,16.8
2009,17.26
2010,17.09
2011,17.48
2012,16.85
2013,16.84
2014,17.16
2015,17.23
2016,17.59
2017,17.95
2018,17.12
